Bitte eine Frage auswählen!,
Um die Syntax darzustellen,6
"Zu verdeutlichen, wie es aussieht",5
", ← Müssen in Anführungszeichen",4
Es müssen mindestens 6 Antworten,3
eingetragen sein,2
Reihenfolge ist egal,1
,
"Nennen Sie etwas, das man trinken kann!",
Wasser,37
Bier,35
Alkohol,10
Chemikalien,8
Kaffee,6
Cola,6
,
Nennen Sie eine Musikrichtung!,
Metal,35
Rock,26
Jazz,12
Klassik,11
Pop,9
Schlager,7
,
Nennen Sie Ihren Lieblingsphysiker!,
Albert Einstein,29
Stephen Hawking,18
Richard P. Feynman,14
Isaac Newton,14
Niels Bohr,12
Nikola Tesla,12
,
"Nennen Sie etwas, das man wissen muss!",
1+1=2,21
π,21
E=m·c²,18
F=m·a,15
42,15
a²+b²=c²,9
,
"Nennen Sie etwas, das Potenzial hat!",
Ich,40
Gravitation,22
Harmonischer Oszillator,10
Potenzialtopf,5
Spannungsquelle/E-Feld,18
Konservative Kräfte,5
,
Nennen Sie ein Experiment!,
Michelson-Morley-Experiment,25
Gitter-/Spaltexperiment,21
Millikan-Versuch,19
Franck-Hertz-Versuch,16
Stirling-Motor,10
Stern-Gerlach-Versuch,7
,
Nennen Sie eine Eigenschaft von Physikern!,
Spezielles Erscheinungsbild,22
Arroganz,20
Verrücktheit,20
Sind Nerds,17
Neugierde,12
Generell verwirrt,10
,
Nennen Sie Ihre Lieblingswechselwirkung!,
Gravitation,37
Schwache Wechselwirkung,21
Starke Wechselwirkung,16
Coulomb-Wechselwirkung,12
Van-der-Waals-Wechselwirkung,8
Die Liebe,7
,
Nennen Sie ein Verfahren!,
Gauß-Verfahren (Eliminationsverfahren),31
Gerichtsverfahren,27
Haber-Bosch-verfahren,17
Taylor-Entwicklung,6
Falsches Abbiegen,8
Trial and Error,10
,
"Nennen Sie etwas, das man gewinnen kann!",
Preise,30
Geld,29
Lotto,15
Erkenntnis,15
Freunde,6
Physikerduell,5
,
Nennen Sie die schönste Zeit des Tages!,
Abends,25
Nachts,21
Essens-/Mensazeit,21
Feierabend,15
Schlafenszeit,13
Freizeit,5
,
"Nennen Sie ihren Lieblingszustand!",
blau,29
flüssig,14
Plasma,12
stoned,12
schlafend,11
Grundzustand,9
,
"Nennen Sie etwas Irreversibles!",
Tod,13
Entropie,12
Verformung,6
Zeit,5
Amputation,4
gekochtes Ei,4
,
"Nennen Sie etwas mit hohem Niveau!",
Physik,30
Klasen,11
angeregter Zustand,11
Ich,7
Sheldon Cooper,6
Hartz IV – TV,5
,
"Nennen Sie eine Energieform!",
Kinetische Energie,36
Potentielle Energie,22
Wärme,18
Schokolade,10
Kernenergie,10
Masse,10
,
"Nennen Sie einen Grund, Physik zu studieren!",
Interesse,43
Spaß,23
Weil ich's kann,8
Nebenfach,8
Mangel an Alternativen,7
Wegen der coolen Leute,5
,
"Nennen Sie eine Programmiersprache!",
Java,32
C/C++,31
FORTRAN,9
Matlab,7
LaTeX,5
Delphi,5
,
"Nennen Sie etwas, das Sie mit der Zahl 11 verbinden!",
Primzahl,34
Fußball,29
11,14
121,10
Schnaps(zahl),7
Nichts,6
,
"Nennen Sie etwas, das strahlt!",
Japan/Fukushima,24
Sonne,22
Isotope,18
Lampe,4
Augen,3
Uran,0
,
"Nennen Sie etwas, das man mit Lasern machen kann!",
Augen kaputt,12
Lasershow,12
Material bearbeiten,11
Pilot ärgern,7
Laserschwert,6
zerstören,6
,
"Nennen Sie ein Lepton!",
Elektron,49
Neutrino,14
Positron,13
Myon,11
Pfirsich,8
Tau,4
